Date,High,Low,Open,Close,Volume,Adj Close,Action
2011-01-03,634.0,620.0,626.25,620.5,122199.0,620.5,0
2011-01-04,623.5,603.25,620.0,608.5,177112.0,608.5,0
2011-01-05,619.75,600.25,609.0,619.25,164318.0,619.25,0
2011-01-06,621.5,600.25,618.75,602.0,178708.0,602.0,0
2011-01-07,604.5,595.0,600.5,595.0,164232.0,595.0,0
2011-01-10,614.0,597.25,597.5,607.0,165455.0,607.0,0
2011-01-11,615.5,606.0,608.0,607.0,146506.0,607.0,0
2011-01-12,637.0,605.5,608.0,631.0,214201.0,631.0,0
2011-01-13,649.5,633.25,633.5,642.5,199502.0,642.5,0
2011-01-14,649.75,636.25,645.0,648.75,159213.0,648.75,0
2011-01-18,662.75,645.5,647.25,659.5,171361.0,659.5,0
2011-01-19,666.25,637.25,659.5,641.25,225524.0,641.25,0
2011-01-20,654.75,627.5,641.25,654.0,198694.0,654.0,0
2011-01-21,667.0,650.5,656.0,657.25,181672.0,657.25,0
2011-01-24,661.5,650.5,659.5,655.25,129965.0,655.25,0
2011-01-25,655.0,639.25,654.75,644.0,169909.0,644.0,0
2011-01-26,662.0,640.25,644.0,657.75,145601.0,657.75,0
2011-01-27,661.75,647.5,658.5,650.75,144411.0,650.75,0
2011-01-28,657.75,642.5,652.0,644.0,149126.0,644.0,0
2011-01-31,659.5,642.25,642.25,659.5,143660.0,659.5,0
2011-02-01,666.75,655.75,658.75,666.0,136793.0,666.0,0
2011-02-02,674.5,663.25,665.5,669.25,135553.0,669.25,0
2011-02-03,673.75,658.5,669.0,662.5,155387.0,662.5,0
2011-02-04,679.5,659.5,664.0,678.5,144574.0,678.5,0
2011-02-07,682.5,669.5,677.0,674.75,182660.0,674.75,0
2011-02-08,675.0,666.25,674.0,673.75,147470.0,673.75,0
2011-02-09,700.75,673.25,673.5,698.0,231721.0,698.0,0
2011-02-10,704.25,694.25,698.0,698.5,224737.0,698.5,0
2011-02-11,706.75,695.0,698.75,706.5,179714.0,706.5,0
2011-02-14,710.5,695.0,706.25,695.75,156566.0,695.75,0
2011-02-15,699.75,680.25,697.0,690.5,218422.0,690.5,0
2011-02-16,695.0,682.75,691.5,690.5,165499.0,690.5,0
2011-02-17,712.75,692.0,692.0,712.75,121105.0,712.75,0
2011-02-18,715.0,701.75,712.0,709.75,156484.0,709.75,0
2011-02-22,724.25,679.75,714.5,679.75,176836.0,679.75,0
2011-02-23,693.75,656.5,672.5,691.5,194778.0,691.5,0
2011-02-24,698.0,680.0,693.0,685.75,147134.0,685.75,0
2011-02-25,722.25,683.25,685.0,712.0,137423.0,712.0,0
2011-02-28,723.5,706.75,712.5,722.5,39229.0,722.5,0
2011-03-01,727.75,717.25,722.0,727.25,28952.0,727.25,0
2011-03-02,732.5,699.75,726.25,714.0,18565.0,714.0,0
2011-03-03,729.75,711.0,714.0,729.75,8537.0,729.75,0
2011-03-04,734.75,716.25,729.5,721.25,9568.0,721.25,0
2011-03-07,726.0,704.25,721.25,710.75,5401.0,710.75,0
2011-03-08,712.0,695.0,710.75,698.75,4674.0,698.75,0
2011-03-09,707.25,685.0,699.0,695.0,3446.0,695.0,0
2011-03-10,696.0,675.0,694.5,676.25,2715.0,676.25,0
2011-03-11,677.75,646.25,677.75,659.25,1486.0,659.25,0
2011-03-14,668.0,650.5,658.0,664.0,140715.0,664.0,0
2011-03-15,667.75,636.0,667.25,636.0,189088.0,636.0,0
2011-03-16,647.75,608.0,630.0,616.5,283674.0,616.5,0
2011-03-17,646.5,616.0,618.25,646.5,118749.0,646.5,0
2011-03-18,691.5,652.25,656.0,683.5,248242.0,683.5,0
2011-03-21,698.5,676.0,685.75,686.5,141444.0,686.5,0
2011-03-22,687.0,673.0,686.75,686.75,129106.0,686.75,0
2011-03-23,691.25,678.25,687.5,681.0,116369.0,681.0,0
2011-03-24,703.5,676.25,681.0,702.5,213013.0,702.5,0
2011-03-25,717.25,688.25,702.75,689.5,204084.0,689.5,0
2011-03-28,694.75,668.25,692.75,671.0,152408.0,671.0,0
2011-03-29,677.0,661.25,671.0,671.75,149177.0,671.75,0
2011-03-30,675.0,661.5,672.25,663.25,147177.0,663.25,0
2011-03-31,693.25,659.25,663.25,693.25,64247.0,693.25,0
2011-04-01,738.25,725.0,730.0,736.0,224259.0,736.0,0
2011-04-04,765.0,734.0,736.0,760.25,196929.0,760.25,0
2011-04-05,770.75,754.5,758.25,766.75,165996.0,766.75,0
2011-04-06,767.0,757.5,765.0,763.0,139675.0,763.0,0
2011-04-07,773.25,752.75,762.75,759.0,192597.0,759.0,0
2011-04-08,769.25,751.25,759.0,768.0,240918.0,768.0,0
2011-04-11,783.75,760.0,772.75,776.0,166109.0,776.0,0
2011-04-12,775.5,746.75,775.25,752.5,216651.0,752.5,0
2011-04-13,768.5,746.5,753.25,755.5,207989.0,755.5,0
2011-04-14,760.25,741.25,757.5,754.25,158742.0,754.25,0
2011-04-15,758.25,739.5,755.0,742.0,164728.0,742.0,0
2011-04-18,753.25,733.75,740.5,751.75,196248.0,751.75,0
2011-04-19,757.25,747.5,752.25,749.0,113079.0,749.0,0
2011-04-20,768.0,728.75,749.0,732.75,118858.0,732.75,0
2011-04-21,741.5,728.5,733.25,737.25,110024.0,737.25,0
2011-04-25,765.25,746.0,748.25,762.5,144141.0,762.5,0
2011-04-26,771.0,751.25,765.5,766.25,158025.0,766.25,0
2011-04-27,767.75,750.0,766.75,752.25,160696.0,752.25,0
2011-04-28,761.25,715.5,757.0,723.0,161817.0,723.0,0
2011-04-29,758.5,719.75,723.25,754.0,55921.0,754.0,0
2011-05-02,757.75,728.25,752.75,730.75,22670.0,730.75,0
2011-05-03,738.5,716.0,735.5,719.0,18933.0,719.0,0
2011-05-04,730.75,711.75,719.5,726.5,9003.0,726.5,0
2011-05-05,733.5,699.0,728.25,705.0,6901.0,705.0,0
2011-05-06,716.5,677.5,704.5,682.75,5524.0,682.75,0
2011-05-09,706.0,682.75,682.75,704.5,4106.0,704.5,0
2011-05-10,720.5,701.0,704.0,706.0,2550.0,706.0,0
2011-05-11,711.25,669.25,708.0,668.75,2610.0,668.75,0
2011-05-12,693.0,659.25,669.75,681.25,1574.0,681.25,0
2011-05-13,687.75,674.75,685.25,679.0,121024.0,679.0,0
2011-05-16,708.0,688.75,689.0,697.5,138184.0,697.5,0
2011-05-17,721.0,695.5,697.5,720.25,147132.0,720.25,0
2011-05-18,750.25,721.5,721.75,749.75,164860.0,749.75,0
2011-05-19,760.25,742.5,749.25,748.25,156387.0,748.25,0
2011-05-20,765.0,743.25,748.0,759.5,153228.0,759.5,0
2011-05-23,775.0,750.0,769.0,754.0,152056.0,754.0,0
2011-05-24,759.0,726.75,754.25,733.25,167096.0,733.25,0
2011-05-25,747.0,732.25,735.0,742.25,117083.0,742.25,0
2011-05-26,758.5,743.5,744.0,745.5,135062.0,745.5,0
2011-05-27,759.0,740.75,747.5,758.5,120456.0,758.5,0
2011-05-31,763.75,743.0,749.0,747.5,148538.0,747.5,0
2011-06-01,760.5,741.0,751.0,758.5,163809.0,758.5,0
2011-06-02,770.0,754.5,757.5,766.5,135173.0,766.5,0
2011-06-03,769.0,751.0,765.5,754.0,122238.0,754.0,0
2011-06-06,758.0,731.5,754.0,732.0,139370.0,732.0,0
2011-06-07,737.75,729.25,732.0,736.5,188507.0,736.5,0
2011-06-08,766.5,734.5,738.75,764.0,224538.0,764.0,0
2011-06-09,793.0,759.5,764.0,785.5,213502.0,785.5,0
2011-06-10,799.75,777.25,785.0,787.0,171077.0,787.0,0
2011-06-13,792.5,777.25,786.0,782.5,162361.0,782.5,0
2011-06-14,779.5,752.5,779.25,755.5,188439.0,755.5,0
2011-06-15,762.25,725.5,760.25,725.75,235152.0,725.75,0
2011-06-16,728.5,698.75,725.75,701.5,222258.0,701.5,0
2011-06-17,714.5,691.25,700.5,700.25,174752.0,700.25,0
2011-06-20,707.75,695.5,703.25,700.5,132757.0,700.5,0
2011-06-21,719.25,702.25,703.0,707.5,172807.0,707.5,0
2011-06-22,714.0,677.5,709.0,677.5,172359.0,677.5,0
2011-06-23,683.75,639.0,675.0,680.5,194372.0,680.5,1
2011-06-24,697.75,669.0,687.0,670.0,160547.0,670.0,1
2011-06-27,669.5,650.0,669.0,660.75,138082.0,660.75,1
2011-06-28,684.25,661.0,667.75,683.0,135555.0,683.0,1
2011-06-29,714.5,684.5,689.5,698.0,143359.0,698.0,1
2011-06-30,708.5,615.0,699.0,629.0,102047.0,629.0,1
2011-07-01,652.75,620.75,629.0,640.75,30771.0,640.75,1
2011-07-05,684.25,649.0,650.75,680.5,16278.0,680.5,1
2011-07-06,680.0,647.5,679.5,648.75,12818.0,648.75,1
2011-07-07,668.0,647.5,648.25,650.0,5513.0,650.0,1
2011-07-08,670.75,652.5,652.5,672.25,3027.0,672.25,1
2011-07-11,680.75,663.5,672.5,681.5,3074.0,681.5,1
2011-07-12,713.5,667.0,682.0,697.0,2619.0,697.0,1
2011-07-13,740.0,702.0,702.0,726.75,1849.0,726.75,1
2011-07-14,742.0,711.5,724.0,716.5,61509.0,716.5,1
2011-07-15,711.0,686.75,690.75,701.25,72336.0,701.25,1
2011-07-18,703.25,683.0,701.75,696.25,54833.0,696.25,1
2011-07-19,723.5,696.5,703.25,698.0,77845.0,698.0,1
2011-07-20,708.75,685.75,698.25,688.0,55660.0,688.0,1
2011-07-21,690.5,670.75,687.5,679.25,59580.0,679.25,1
2011-07-22,690.5,672.75,679.25,690.0,70366.0,690.0,1
2011-07-25,683.75,671.75,678.25,678.75,44739.0,678.75,1
2011-07-26,690.5,675.5,682.25,689.75,56593.0,689.75,1
2011-07-27,693.0,677.0,689.5,691.5,70663.0,691.5,1
2011-07-28,690.5,680.0,690.25,682.25,80120.0,682.25,1
2011-07-29,684.5,662.25,684.0,665.5,78720.0,665.5,1
2011-08-01,684.0,665.25,668.5,681.25,70405.0,681.25,1
2011-08-02,711.25,677.0,680.25,711.25,99777.0,711.25,1
2011-08-03,714.25,700.5,711.0,706.0,88522.0,706.0,1
2011-08-04,706.0,681.75,705.25,693.75,84612.0,693.75,1
2011-08-05,699.75,679.0,688.0,693.0,104989.0,693.0,1
